Address,Mainnet Indices,Stark Alloc
0x72c2c890625f7e2ec82a49a5b0d6438c36fc1bb5,[115341],37.13444581218529
0x9a3127e41dc919b81c4814b0aa0df9c4d3b41fda,[115341],36.89006600805323
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,[115341],36.03554903521191
0xa736df0b2ed6dba2750e45aa24246c46cd9cd707,[115341],35.47825297634848
0x6be82c8d3aef5e1f5387c9e71d5ab652a0bd0220,[115341],35.42596839940875
0x165900d55ad3dd5b2659d59958e1a0e86a639527,[115341],35.31560712713646
0x91e6da47876b1fd4267d427ed4242531ac9cbfd8,[115341],35.31560712713646
0xcc1840765abd6b6665e7a8632769924c12d1f1f1,[115341],35.31560712713646
0xe47624e1401e5777f4efa0fcc87a0aca45dab0a2,[115341],35.31560712713646
0xee9af6b897cf48d2b295588a3b4f1511d181947a,[115341],35.31560712713646
0x6e106def5c871b05b51cb5baf71b4dbfab8c91e1,[115342],30.60685951018493
0xf37936a906cc14625d95c1b68f05c505fc81214d,[115342],29.448212934137455
0xa8335d8a94c757b53619437c77f6999da29dc402,[115342],29.429672605947047
0xb19f6698d63d51cfa0d6eb4490ca83fcd640f462,[115342],27.73416101227321
0xb0a2852750b15038cf9b5be255a483e3063162d7,[115342],27.197678360829997
0xbee1a8d95c3308af7a16c9490f720a7a0292896a,[115342],26.46600681375929
0xa5aa7454ab373a8d1287a232f3cee46149fbde0e,[115342],26.29636954081028
0x77203c37b10d543278f72673e405404ee4c8ddc9,[115342],26.217505946720344
0x985147809e9c0a677e9c9bed656c984be037d373,[115342],25.65329806172543
0xe99794e0a0fcc1e8d85a1e47da202d054b6b4f6a,[115342],25.04960965824688
0xcd5385256e15f40cda1579f1239ba14236ff2e39,[115342],24.112949977980566
0x3c4491d4f4b65dde70fcb64d8df528b2afb61dee,[115342],23.80753544067377
0x55e3fe5f736c6ca3b6cba5a58d65ec4175560f76,[115342],23.637913037096666
0x59a0f42d77544fa3bc240ae3d2561c2038d52636,[115342],23.543738084757635
0xb0b287952f748813f9b3b43f84a1e99aa60d0eab,[115343],23.543738084757635
0xbb71ac224cc4cce32aa83bf6b81f79f46a213591,[115343],23.543738084757635
0xe63716032ccfadaf97c4e046486bff992ed223ff,[115343],23.543738084757635
0xfb2c9ef51b78c2bba2492f00a90144fd815a47b9,[115343],23.543738084757635
0x861d49e493b1b85e6804fa91c548a29a0b5a6683,[115343],23.24331998679613
