address,veth2_bal
0xdf84b6941601d20e8b0a8fd787541709144e4c8e,22662951421346381603
0x80795df53cd359d98acba7348db35cf301162f7d,22338730991444261251
0xf486d56cce70c481b3455af901fcc4f03fee8107,21508509635042392401
0xb41e08356ceb25cb83bfbba56b6fabd6950f2cd7,21459583260603404309
0x6b98bc3c7ad2819088d63adddc306a5050858662,20436137071651090344
0x670647441d9c24d981923c9293a2e4eae6d0c8b3,20002456349450335070
0x7e7afaafd27f723e7178cb439982ad286508febc,20000000000000000063
0x6e3167c7b68f92a9c33278d5ad059e150f06b50c,19937694704049844238
0x61c64b569ea071e575308fccdf0b93d505a21e18,19937694704049844237
0xf03bd3cfe85f00bf5819ac20f0870ce8a8d1f0d8,19298296828743538506
0x1d83e2baa5dcb893f29ec25beef24d3632238bcb,18940809968847352026
0x39c62c52c1ab6b02e4ab2f34bcbdf3e385f97907,18808237592084855577
0xa1ca0c5ec69b5c3740557cade7342a91c0671521,18193299703785643735
0x13b37d355cdf1eacefa26a56d6c754ddd0c9e699,17928348909657320873
0x4e5a83140d2a69ee421f9b00b92df9ee27d7dffa,17116860253123612936
0xd3afab123a5e6f6be87291935b5fe5056bb64b6b,16889441887675652611
0xbaa1c98e93a692b70a0aa1cb74f35aee1ed3dbc2,16143898752248614062
0x2eaeacefebb26e9e18c4d5110009cb027aa7ee74,15249106832619182178
0x6c471deb9af02466f2b6b23ad70890c94f199f80,15113045956444289184
0x723c121dea46af913be0d357b0659869c3338d1b,14953271028037383178
0x100f1a940f5ab82c5472701abeef19763c296a6d,14673321087824351000
0x052927cc2b7dc74c20d7cc83bd001d968b206cdf,14650000000000000000
0x4a7dc0a1f68ecffd1588df798d95c95c8aa7efd9,14451612703546143261
0xd056666321700092b032b2571431b2478cd6512e,14265420560747663552
0xa75204de25e91f82c5b0b849b247515153ac61e9,14006230529595015577
0x64b44d5d2fffc1f6a025488f689bc7fec38084b3,13956386292834890966
0x8760b032c5b69c4669e3603835d777634de47b7f,13951065557316396424
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,13740957963589482101
0x6c264184bac13ebda4e716cdbf096285402b8433,13621938548265051010
0x4e3d3968f3b95bde51c2caa3579cdbfe3c24b192,13291009542201923695
0x00f928a6adc7c345ef919fe5a8be2458580ef9f6,12957770157833985243
0x5709c73391e223aea2f0d43837f7132d0c8f388c,11981272650023177571
0xcc3d88d750ac042c4696dacffad8ea2cd34b114f,11931916822429906543
0x111086f05d91f6657d435b9483c5d7553c3d79ca,11413803155530621231
0xd7c6a86b7d67c363176b412ced35b7ed84b31092,11065420560747663552
0x9fed225115a1374c7f0faef307d471c80fff1893,10977960050508258742
0x809e7b210f8c599ceafc3cff49f4863b2da07c59,10948353878993527356
0xc758f4d525fea924becdaff30d9daa1781ed45e3,10887430289218923137
0xe58d49e75f24bf92c283c6b8f1c995b69206f380,10766355140186915888
0x34fabbc7169c310ccf6c721e862eaabbfc779467,10467289719626168226
0x805197344c4f5d990cfbc23e032631aef0a6987a,10303455916984468849
0x2f111217a1c2cff0feed39addf471ceac3064ecb,10050990654205607477
0x89cff61026f6743b8d25ae9b253582083136b1c4,10000000000000000000
0x9a885ca8758f2fca5ec79d49747052cb31381b7e,9968847352024922120
0x115a60698ebdf87a31a01c7d45b8a7c5fb381ec5,9968847352024922119
0x3bba937a4db82bfabe6aef7015a75e9f870533b7,9968847352024922119
0x42b37319dc321f9d9cd6a9316a73869e68d36a24,9968847352024922119
0x666f03cb07876a52f38277992b2fe7ed3bcbc397,9968847352024922119
0x8ce4627367cb4d0bdbce1a0951864f08c9351a84,9968847352024922119
0x73849dd5790f29bdac8502760602e4360bb6bc1e,9944382846386683960
0x5e284d05958db25faf6b22c4c69ef8ad2965ab21,9470404984423676013
0xe232434d6c50613bc3da96be75fd36c2351365f9,9370716510903426792
0xf721370944d3321d0d3a949ef2d8446e64c352d7,9242969465744471630
0xe98f4f21127386169061026771fba11fd1b18ea8,9067393653385001531
0x1daaecfddc0ea8fb5225de39ae9be5142b939b04,8770196631389675614
0x194425e585bb98f3394ec041ada5cc7be5da59b9,8523364485981308412
0xc627534f95656fa358010d59f3fddb7123bbce91,8027418262775647898
0x8cb33d13e9270910ce9475c48aec8acd6c18767b,7975077881619937695
0x90abcf1598ed3077861bcfb3b11efcd1d7277223,7975077881619937695
0xaf77ecd5349e8a736b1aa651366845607824d1bc,7975077881619937695
0x1a9836f6dcc253332ee707bd9808ab3d79d973d5,7851303563067651552
0xd2bc4e7ecfa4ec39069623854cd114dcd8771b84,7583787790749246230
0x1f5e4628f133fea52a1d70442ef633731d31ebf2,7389884780439121000
0xa1875f808db4a8ed0245984a6d15471bc72558c5,7168743062668569294
0x555b84da791b4a807d83b3535c47283e086f7f38,7081009904983987686
0x248cbf759ceee07370b8e1e842a90d48e3cbe473,7001227928227336085
0xd095dae00f18abd8564e6146fed7bc1b1aa83982,6978193146417445483
0xfe1028e5d69065d1a88842903cb278e43687e17a,6978193146417445483
0xb367e8de6193ca3ab9de68c599b4eb69e8d2b249,6898442367601246108
0x13e83b7b40ae3d2746683bccd41b520f0a44406f,6826847352024922119
0x84120647a1cb516d0b679af75f60456c3f909cf9,6479750778816199377
0xb84848ce4a46a44f06864b5decc2fe07b842cf30,6245846446263332979
0x942d89ff467fad1eadc489e9b8a893ddb18c35f4,6066572460379898979
0x4802de6e932f46be3d2b0d5e3ca6448cafc4e538,5981308411214953272
0x955d81e9a0ef56f332312b0cc476fc6235478b0f,5981308411214953272
0xd143d3d16a9f0c13fd6a25bd3e6a1644b14f41bf,5906721736230485107
0x610c92c70eb55dfeafe8970513d13771da79f2e0,5788685196345402226
0xea94c9a3bcc2bf5a3c08e3de1ccc64c6b6049710,5471900311526479752
0x58480f6f52fed34f53149d1f323718c678b5ad1e,5233644859813084113
0x3a5a0f53211f1f12ba8cf63a3dcff64aa93557ad,5216573072873234475
0xcc915b7884209e7c6fab158f57f854517f4a7bd8,5004361370716510904
0xe0c0f2990ae8507ea9fad84aaa6de44a27093cce,4984423676012461060
0x4c47645070fe67173e0438315ae392430f65911a,4755140186915887851
0x6a93946254899a34fdcb7fbf92dfd2e4ec1399e7,4533424205207619485
0x31c09f0616532f7a6f33d9ee4e1f45ea529481af,4472030415711923891
0xf2b506a799159ac4add1ad7182d1635b6cf5dc24,4047287064881182184
0x0a610a7de5b6ecb6c8032593e90f7e46f9aafdaf,3987538940809968848
0x0fbc9fad1e28598d97d4dec8dcf54c8e46e835e4,3987538940809968848
0x21a3d6449c433bd1c15060b6b9f391e8ea039185,3987538940809968848
0x3756681f03dd2c8b5cce162d22986ed86c385b10,3987538940809968848
